County,total_gov_votes,total_att_votes,pctmoore,pctbrown,pctdifference
Allegany,20929,18562,30.531797983659036,28.693028768451672,1.838769215207364
Anne Arundel,168548,149549,52.43313477466359,48.93045088900628,3.502683885657312
Baltimore City,128573,118421,87.8753704121394,88.89555062024472,-1.020180208105316
Baltimore County,225973,200033,60.38863050010399,57.69248074067779,2.6961497594262056
Calvert,33660,30185,42.29352346999406,39.88736127215504,2.4061621978390164
Caroline,10396,9139,31.512120046171603,28.033701717912248,3.4784183282593553
Carroll,66937,56126,37.58011264323169,30.513487510244808,7.066625132986886
Cecil,27844,26451,31.213187760379256,29.90057086688594,1.312616893493317
Charles,49912,41109,67.38459689052732,66.17772263981124,1.2068742507160835
Dorchester,10894,9103,39.847622544519915,35.26310007689772,4.584522467622193
Frederick,99013,80270,51.93560441558179,47.73888127569453,4.196723139887261
Garrett,10996,9337,21.844307020734814,17.789439862911,4.054867157823814
Harford,96633,82209,42.259890513592666,36.95824058193142,5.301649931661245
Howard,121198,103282,69.05229459232001,66.11510234116304,2.937192251156972
Kent,8239,6423,51.656754460492785,44.41849602989257,7.238258430600212
Montgomery,294194,235603,77.21469506516108,75.75455321027322,1.4601418548878655
Prince George's,202977,174258,88.664232893382,90.2782081740867,-1.6139752807046932
Queen Anne's,22254,18482,38.54138581827986,31.17627962341738,7.365106194862484
Saint Mary's,36465,31274,39.39393939393939,36.45839994883929,2.9355394451000976
Somerset,6428,5594,35.065339141257,33.07114765820522,1.9941914830517788
Talbot,16017,14256,49.87825435474808,45.11083052749719,4.767423827250887
Washington,46038,41386,36.9390503497111,34.77504470110666,2.1640056486044443
Wicomico,27788,23837,43.9506261695696,40.52523388010236,3.42539228946724
Worcester,22569,18573,37.883822942974874,31.788079470198678,6.095743472776196
